t,S_A,DeltaH_A,Pi,Pi_avg
2.5851703406813624,0.8682977260319196,2.044212144808276,6.1648609125048335,7.027289879117142
2.6052104208416833,0.8954998053754144,2.038416946099174,6.538588465935207,7.023559333978349
2.6252505010020037,0.926082016965913,2.032304866319268,6.971845436103446,7.02316756202475
2.6452905811623246,0.9591275604276113,2.0259606715138685,7.454932970663491,7.026413918480681
2.665330661322645,0.993592852216946,2.0194727159477823,7.9747099925935805,7.0334907548546575
2.685370741482966,1.028378736809171,2.0129316074241514,8.515206559755258,7.044466427483551
2.7054108216432864,1.062389522830368,2.0064286451440427,9.058395299942893,7.05927472801634
2.7254509018036073,1.0945812189661932,2.000054158588873,9.585123910672259,7.077711583364192
2.7454909819639277,1.1240006167098373,1.9938956632895781,10.076170767077961,7.099439548463568
2.7655310621242486,1.1498167892403626,1.9880360839993885,10.51336023894944,7.1240001289706605
2.785571142284569,1.1713461179053843,1.982551949712849,10.880655313273996,7.150833380287113
2.8056112224448895,1.1880712995406495,1.9775117167772476,11.165137248739322,7.179303620488902
2.8256513026052104,1.1996547383945502,1.9729743490351395,11.357793745204491,7.208729607282674
2.845691382765531,1.2059463114569215,1.9689880288381536,11.454048403219748,7.238417151310205
2.8657314629258517,1.206985491464644,1.9655893371118267,11.453992074290094,7.267691977164231
2.885771543086172,1.2029976066976111,1.9628026181162104,11.362297247178548,7.295930634198813
2.905811623246493,1.1943840961686911,1.9606398250770924,11.187829392854349,7.322587475011522
2.9258517034068134,1.181706306470625,1.959100724452561,10.942986490186637,7.347216039740605
2.9458917835671343,1.165662707999721,1.9581733040561344,10.642825027464626,7.369483668036038
2.9659318637274548,1.1470590852603668,1.957834744663903,10.304041541825574,7.389178687323216
2.9859719438877756,1.126771580192707,1.9580523545440098,9.94388424714829,7.406210057722051
3.006012024048096,1.1057029218849344,1.9587849128443051,9.579076819561678,7.420599903826949
3.0260521042084165,1.0847324159202532,1.9599840176334762,9.224816984672621,7.432469753043038
3.0460921843687374,1.064661978908027,1.9615954470950172,8.893914003828792,7.442021676250787
3.066132264529058,1.0461613290495453,1.963560663644678,8.596103570494844,7.4495157145250985
3.0861723446893787,1.0297178309366681,1.9658179053443041,8.337574818892358,7.455245128101661
3.106212424849699,1.0155974785530242,1.968303564524109,8.12073424525735,7.459511083980865
3.12625250501002,1.003824090507206,1.9709529440077265,7.944223885825164,7.46259842666777
3.1462925851703405,0.994181759617258,1.9737011877330133,7.8032042616085135,7.464754159800306
3.1663326653306614,0.9862421698545927,1.976483729443587,7.689894316977743,7.466170135631611
3.186372745490982,0.9794133314269189,1.9792367591396696,7.594335195684552,7.466971167256942
3.2064128256513023,0.9730025028022636,1.9818973665925652,7.505317458910435,7.467209342981498
3.226452905811623,0.9662841859618843,1.984403608460456,7.411391301282602,7.466864787168541
3.2464929859719436,0.9585649562232825,1.9866945015683242,7.301871345083965,7.465852557462501
3.2665330661322645,0.9492393268992894,1.9887099238279589,7.167750465980935,7.464034861782736
3.286573146292585,0.9378337056860081,1.9903905299187175,7.002449128120027,7.461237372487811
3.306613226452906,0.9240376971134826,1.9916777416912974,6.80234162875186,7.457268121019522
3.3266533066132262,0.9077234327112769,1.992513726309015,6.567021027255154,7.451937300098778
3.346693386773547,0.8889540636937192,1.9928416360761314,6.299287336091901,7.445076288408261
3.3667334669338675,0.8679825480691035,1.9926058507919149,6.004866808188356,7.4365543388211615
3.3867735470941884,0.8452416158718594,1.9917524671398366,5.691897862198021,7.4262916536645545
3.406813627254509,0.8213252080822336,1.9902299225173046,5.370238175571392,7.4142679491143015
3.4268537074148293,0.7969615460539617,1.9879897213603652,5.050668443409574,7.400526091522996
3.44689378757515,0.7729774571337019,1.9849874133499308,4.744073463141759,7.385170874017902
3.4669338677354706,0.7502539433713157,1.981183482278503,4.460681996646926,7.368363466676689
3.4869739478957915,0.7296734609856452,1.9765445514112752,4.209433962373759,7.350312440937816
3.507014028056112,0.7120610900165951,1.9710443183487374,3.9975222549047515,7.331262496698991
3.527054108216433,0.6981235916985074,1.96466476879843,3.8301261420832136,7.31148206531698
3.5470941883767533,0.6883936040279526,1.9573970612132476,3.7103303294430963,7.2912508757896
3.567134268537074,0.683187341865946,1.9492424617163375,3.6391962552142805,7.270848336009849
3.5871743486973946,0.6825840795246535,1.9402130378215616,3.6159441940164956,7.250543312998775
3.6072144288577155,0.6864319268575544,1.930332180377861,3.6382035390978764,7.23058563468993
3.627254509018036,0.6943787683607402,1.9196348919174,3.7022990271481677,7.211199444538603
3.6472945891783564,0.70592170297699,1.9081677574599445,3.8035542312487447,7.192578432444122
3.6673346693386772,0.7204652871676407,1.8959887666892594,3.936605300914011,7.174882926294502
3.6873747494989977,0.7373791624971519,1.8831666888483642,4.095722050170727,7.158238813450589
3.7074148296593186,0.7560480719278249,1.8697803573059637,4.275130780564198,7.14273823262862
3.727454909819639,0.7759105419538077,1.8559174662572937,4.469325189986881,7.128441906197381
3.74749498997996,0.7964852240007655,1.8416733800650085,4.673347214396259,7.115382891879289
3.7675350701402803,0.8173854604004777,1.8271495030033327,4.8830131284908065,7.10357141164972
3.787575150300601,0.8383236591688052,1.812451654145009,5.095066634767772,7.093000333876658
3.8076152304609217,0.859107207002362,1.7976882559011593,5.307244519069424,7.08365082699285
3.8276553106212425,0.8796277642385624,1.7829685020897772,5.518251880410437,7.0754977074794
3.847695390781563,0.8998457210309189,1.7684005366490745,5.727653552624521,7.06851405900865
3.8677354709418834,0.9197715385389126,1.754089637011324,5.935696781035106,7.062674794689198
3.8877755511022043,0.9394458371848915,1.7401366983058892,6.143089604784796,7.057958973202509
3.9078156312625247,0.9589197916026,1.72663667214576,6.3507573084217075,7.054350801443423
3.9278557114228456,0.978237494375483,1.7136774896513463,6.559605066775683,7.05183940177506
3.947895791583166,0.9974216673836767,1.7013389805646075,6.770308220617176,7.050417527122747
3.967935871743487,1.0164636892920371,1.6896923277769778,6.983149852115295,7.050079498605121
3.9879759519038074,1.0353184458459088,1.6787995345048567,7.19791535016266,7.050818677862909
4.008016032064128,1.0539041910800617,1.668713479303754,7.4138539873397304,7.052624823681201
4.028056112224449,1.0721068028266307,1.6594777475732059,7.629701162962217,7.055481637241999
4.04809619238477,1.089787704974851,1.6511271933877454,7.843760584019233,7.059364784763069
4.06813627254509,1.1067944168337176,1.6436881779899075,8.05403184212162,7.064240603671689
4.0881763527054105,1.1229721782952586,1.6371791580849488,8.258367249644607,7.070065611700826
4.108216432865731,1.138175658701671,1.631611134899699,8.45464231105845,7.076786857814213
4.128256513026052,1.1522795404275215,1.6269881226447902,8.640921809940275,7.084343065312406
4.148296593186372,1.1651869183522683,1.6233076131547237,8.815602858092667,7.092666429700772
4.168336673346693,1.176834978139869,1.620560828264551,8.977521721468097,7.101684876072865
4.188376753507014,1.187197511869912,1.6187329393547965,9.126014427248972,7.111324540602275
4.208416833667335,1.1962841095499899,1.617802983132747,9.260923381227276,7.121512212832725
4.228456913827655,1.204136422812419,1.6177440033741706,9.382556240515962,7.132177514850098
4.248496993987976,1.2108218564214057,1.618522716796921,9.491597082588818,7.143254602022581
4.268537074148297,1.2164254368750775,1.620099586705857,9.58898609587632,7.15468325386302
4.288577154308617,1.2210408546235936,1.6224286218885144,9.675779906457239,7.166409284805318
4.3086172344689375,1.2247615814832042,1.6254573022704826,9.753009943097183,7.178384287852965
4.328657314629258,1.2276731782521468,1.6291268975991837,9.821559245641149,7.1905648176123576
4.348697394789579,1.2298476389404742,1.6333725001663368,9.882068368005438,7.202911164173794
4.368737474949899,1.231340516353539,1.6381238632374793,9.934890114683512,7.215385953902149
4.38877755511022,1.232191210082582,1.6433058769413447,9.980093557102471,7.227952806643968
4.408817635270541,1.2324264789377228,1.6488398547842886,10.01752670913445,7.240575312990079
4.428857715430862,1.23206682551622,1.6546445202366888,10.046926488997144,7.253216534503624
4.448897795591182,1.2311351099787704,1.6606376194138424,10.068071638718717,7.2658392031323915
4.468937875751503,1.229666385145367,1.6667374826187238,10.080957775750996,7.278406696760152
4.488977955911824,1.227717836449662,1.6728646899086053,10.0859761403096,7.290884783175928
4.509018036072144,1.225377512902209,1.678943954019717,10.084073506555137,7.303244025314774
4.529058116232465,1.222770650181887,1.6849056578549995,10.076868514808842,7.315462635400651
4.5490981963927855,1.2200624181855912,1.6906878896320547,10.06670941564509,7.3275295072438285
4.569138276553106,1.2174561522727534,1.696237504972984,10.056649409675169,7.339447061402917
